gene_id	go_id	GO_LEVEL	METAGO_L2	METAGO_L3	METAGO_L4	METAGO_L5
Pa_6_4530	GO:0006629	4	GO:0008152	GO:0044238|GO:0071704	GO:0006629	GO:0006629
Pa_6_4530	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4530	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_6_4540	GO:0004672	6	GO:0003824	GO:0140096|GO:0016740	GO:0016772	GO:0016773|GO:0016301
Pa_6_4540	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4540	GO:0007165	5	GO:0009987|GO:0065007	GO:0050789	GO:0050794	GO:0007165
Pa_6_4550	GO:0006259	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139|GO:0044260
Pa_6_4550	GO:0006950	3	GO:0050896	GO:0006950	GO:0006950	GO:0006950
Pa_6_4550	GO:0016787	3	GO:0003824	GO:0016787	GO:0016787	GO:0016787
Pa_6_4590	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_460	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4600	GO:0003674	1	GO:0003674	GO:0003674	GO:0003674	GO:0003674
Pa_6_4610	GO:0003723	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003723
Pa_6_4610	GO:0006412	8	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0034641|GO:0043170|GO:1901564	GO:0043603|GO:0009059|GO:1901566|GO:0044271|GO:0019538|GO:0044260
Pa_6_4610	GO:0016779	5	GO:0003824	GO:0016740	GO:0016772	GO:0016779
Pa_6_4610	GO:0045182	2	GO:0045182	GO:0045182	GO:0045182	GO:0045182
Pa_6_4620	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4630	GO:0003674	1	GO:0003674	GO:0003674	GO:0003674	GO:0003674
Pa_6_4630	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4630	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4630	GO:0016070	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139
Pa_6_4630	GO:0050789	3	GO:0065007	GO:0050789	GO:0050789	GO:0050789
Pa_6_4640	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4650	GO:0016853	3	GO:0003824	GO:0016853	GO:0016853	GO:0016853
Pa_6_4660	GO:0008150	1	GO:0008150	GO:0008150	GO:0008150	GO:0008150
Pa_6_4660	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_6_4670	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4690	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
