Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_5_10247	1.32	2.36	1.59	0.5	0.1	-0.1	-1.03	-1.92	-2.17	-2.12
Pa_5_10400	-0.38	0.15	-0.02	0.08	0.02	0.23	0.03	-0.4	-1.26	-2.66
Pa_5_10410	2.37	1.93	1.45	0.65	0.1	-0.1	-0.87	-1.56	-1.69	-1.62
Pa_5_10440	0.45	1.33	0.55	0.27	0.03	-0.03	-0.73	-1.01	-1.63	-2.02
Pa_5_10450	2.9	1.03	0.56	0.02	0.4	-0.02	-0.2	-0.29	-1	-1.17
Pa_5_10560	-1.09	0.31	0.04	0.3	-0.04	0.5	0.33	-1.14	-1.84	-2.91
Pa_5_10570	0.47	1.53	1.11	0.48	-0.01	0.01	-0.63	-0.71	-0.8	-1.37
Pa_5_10720	2.79	3.07	2.49	0.82	-0.03	0.03	-0.97	-1.65	-1.83	-1.79
Pa_5_10910	1.02	0.3	0.4	0.66	0.32	-0.3	-1.03	-1.66	-1.69	-1.51
Pa_5_11060	0.15	0.48	0.23	0.08	0.26	-0.08	-0.4	-1.68	-2.45	-2.05
Pa_5_11080	2.23	1.02	0.98	0.75	0.14	-0.14	-1.1	-1.69	-1.94	-2.31
Pa_5_11180	0.75	0.86	0.75	0.15	0.1	-0.1	-0.69	-1.5	-2.24	-2.93
Pa_5_11190	1.47	1.53	0.84	0.06	0.42	-0.06	-0.17	-1.04	-2.19	-3.65
Pa_5_11195	1.08	1.05	0.5	-0.04	0.06	0.04	-0.52	-1.17	-1.7	-2.83
Pa_5_1120	0.79	0.33	0.57	0.15	0.22	-0.15	-1.05	-2	-2.41	-2.31
Pa_5_11200	1.27	1.11	0.96	0.07	0.15	-0.07	-0.69	-1.67	-2.6	-3.53
Pa_5_11210	0.12	-0.01	0.01	-0.02	0.01	0.32	0.18	-0.67	-1.64	-2.41
