Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_3_2760	-0.93	-0.97	-0.55	-0.4	-0.08	0.08	0.56	3.66	6.25	5.47
Pa_3_2780	-0.65	0.09	-0.68	-0.3	0.05	-0.05	-0.06	1.48	2.44	4.26
Pa_3_2815	-0.57	0.22	-0.89	-0.91	-0.69	-0.22	0.22	2.89	5.53	4.38
Pa_3_2830	-0.34	-0.48	-0.65	-0.78	-0.11	0.18	0.11	0.19	2.32	2.56
Pa_3_2900	-2.42	-0.97	-1.22	-0.68	-0.16	0.16	1.46	2.93	2.88	2.09
Pa_3_2910	-0.45	0.02	-0.27	-0.18	0.26	-0.19	-0.02	1.08	4.63	5.8
Pa_3_2930	0.77	-0.02	-0.28	-0.78	0.02	-0.5	-0.32	0.62	2.66	2.27
Pa_3_2955	-0.23	-0.16	-0.11	-0.11	0.08	0.11	-0.08	1.49	3.25	2.05
Pa_3_3180	-1.23	-1.08	-0.89	-0.92	-0.09	0.09	0.64	1.34	1.31	0.37
Pa_3_3660	0.19	-0.13	0.02	-0.15	-0.26	-0.02	-0.23	0.11	2.3	1.8
Pa_3_4020	-1.12	-0.63	-0.87	-0.58	-0.12	0.12	1.24	2.08	2.02	2.04
Pa_3_4190	-0.31	-1.58	-0.9	-0.66	-0.19	0.19	0.58	0.58	0.4	1.08
Pa_3_420	-0.7	0.17	-0.17	-0.32	-0.4	-0.46	0.59	3.91	4.66	4.22
Pa_3_5000	-0.3	0.06	-0.2	-0.15	-0.07	-0.06	0.08	1.3	3.51	2.7
Pa_3_5124	-0.15	-0.63	-1.24	0.15	0.61	0.21	-0.24	-0.34	1.88	2.82
Pa_3_5480	0.2	0.41	-0.03	-0.32	-0.48	-0.41	-0.59	0.03	3.27	3.44
Pa_3_5620	-1.21	0.02	-0.09	-0.08	-0.02	-0.34	1.36	3.21	3.23	2.42
Pa_3_5650	-0.62	0.38	-0.06	-0.47	-0.75	-0.39	0.06	1.73	2.27	2.87
Pa_3_6500	-1.25	-0.17	0.06	-0.06	-0.21	-0.09	0.41	1.09	2.6	2.26
Pa_3_6600	-0.05	0.03	0.17	-0.31	-0.5	-0.53	-0.03	0.61	1.86	2.08
Pa_3_7480	0.07	0.14	-0.08	-0.07	-0.25	-0.28	-0.15	0.31	2.56	3.47
Pa_3_7760	-0.26	-0.95	-0.11	-0.19	-0.33	0.11	0.86	2.06	2.66	2.08
Pa_3_7770	0.01	-0.36	-0.01	-0.28	-0.2	-0.14	0.46	1.71	2.66	2.61
Pa_3_820	-0.2	-0.08	-0.23	-0.18	-0.12	0.08	0.18	3.43	7.16	6.52
Pa_3_8490	-0.13	-0.74	-0.46	-0.24	-0.28	0.13	1.05	1.92	1.78	0.25
Pa_3_8580	0.45	-0.41	-0.38	-0.48	0.05	-0.05	-0.07	1.21	5.24	4.47
Pa_3_9650	-1.72	-1.1	-1.19	-0.94	-0.09	0.09	0.84	1.48	3.41	4.11
Pa_3_9740	-0.87	-0.1	0.08	-0.58	-0.22	-0.08	0.29	1.59	3.33	4.19
Pa_4_1810	0.65	-0.13	-0.36	-0.49	-0.27	-0.12	0.12	0.3	1.19	2.21
Pa_4_1820	1.04	-0.18	-0.29	-0.5	-0.32	-0.18	0.18	0.35	1.18	2.08
Pa_4_1870	-0.62	-0.4	-0.45	-0.48	-0.27	0.27	0.66	1.65	3.92	3.27
Pa_4_2460	-0.59	-0.62	-0.02	0.02	-0.12	-0.19	0.34	1.19	2.35	2.72
Pa_4_2750	-0.25	-0.01	-0.13	-0.36	-0.31	0.01	0.92	2.21	2.86	4.53
Pa_4_3160	0.14	-0.49	-0.66	-1.24	-0.34	-0.14	0.49	2.21	2.05	3.16
Pa_4_3595	-0.73	0	-0.23	-0.17	0	0.02	-0.19	0.01	1.23	2.6
Pa_4_3720	-1.88	-1.9	-1.9	-0.92	-0.27	0.27	1.01	2.19	3.43	2.88
Pa_4_3755	-0.62	-0.61	-0.61	-1.04	-0.22	0.22	0.68	2.27	2.73	2.01
Pa_4_3775	-3.19	-0.04	-0.2	-0.57	-0.3	0.04	1.2	2.13	2.37	0.84
Pa_4_3855	-0.56	-0.41	-0.47	0.16	0.01	-0.14	-0.01	0.8	2.41	1.88
Pa_4_4130	-1.51	-1.65	-1.41	-1.56	-0.8	0.8	1.39	3.27	6.14	6.54
Pa_4_4420	-1.16	-0.07	0.32	-0.02	-0.08	-0.01	0.01	1.34	0.98	0.9
Pa_4_445	-0.61	0.06	-0.56	-0.54	-0.15	0.01	-0.01	0.58	3.45	4.98
Pa_4_4580	0.1	-0.47	-0.69	-0.16	-0.1	-0.75	0.35	2.61	3.32	4.13
Pa_4_4960	0.23	0.2	-0.47	-0.81	-0.84	-0.54	-0.2	1.12	2.03	1.55
Pa_4_5145	-0.24	0.02	-0.19	-0.13	-0.06	-0.02	0.11	3.61	6.24	4.06
Pa_4_5148	0.64	-0.51	-0.44	0.09	-0.24	-0.09	-0.11	0.44	2.8	3.83
Pa_4_5390	-1.66	-0.49	-0.56	0.4	0.16	-0.53	-0.16	2.65	4.05	7.18
Pa_4_5400	-0.22	-0.1	-0.24	-0.14	-0.04	0.12	0.04	1.14	4.08	5.84
Pa_4_5560	0.6	-0.8	-1.31	-1.29	-0.2	0.13	-0.13	0.13	1.47	1.93
Pa_4_570	-0.44	0.15	-0.53	-0.15	0.26	-0.24	-0.25	3.41	4.51	3.15
Pa_4_5783	-2.91	-2.2	-2.04	-0.51	-1.08	0.51	1.35	1.4	1.83	1.93
Pa_4_5785	-0.9	-0.76	-0.82	-0.79	-0.16	0.16	0.63	1.21	1.7	1.79
Pa_4_6380	-0.2	-0.31	-0.22	-0.25	-0.02	0.13	0.02	0.26	1.27	3.01
Pa_4_6520	-0.6	-0.37	-0.49	-0.35	-0.07	0.07	0.29	1.82	3.06	2.53
Pa_4_680	-0.3	0.04	-0.04	-0.07	0.02	-0.02	-0.03	0.45	2.71	2.69
Pa_4_705	-0.65	-0.52	-0.09	-0.24	0.01	-0.01	0.54	1.06	1.41	2.58
Pa_4_710	-1.76	-1.23	-1.51	-1.53	-0.75	0.75	2.5	3.58	4.56	5
Pa_4_7140	-0.66	-0.86	-0.52	-0.55	-0.07	0.07	0.32	2.36	4.41	4.13
Pa_4_730	-0.74	-0.23	-0.38	-0.24	-0.17	0.17	1.24	2.31	2.67	2.08
Pa_4_7510	-1.01	-1.38	-1.32	-0.62	0.19	0.38	1.36	1.74	1.68	-0.19
Pa_4_8370	-0.92	-0.21	-0.19	-0.22	-0.34	0.19	2.09	3.36	3.28	3.04
Pa_4_8455	-0.23	-0.41	-0.04	0.65	0.39	0.01	-0.07	-0.01	2.44	3.92
Pa_4_8680	-0.45	-0.19	-0.41	-0.18	-0.12	0.12	0.34	2.07	2.67	3.49
Pa_4_8730	-0.26	-0.96	-0.99	-0.85	-0.26	0.26	0.91	2.37	2.35	3.88
Pa_4_8900	0.75	0.12	0.1	-0.1	-0.47	-0.69	-0.92	-0.33	2	1.84
Pa_4_9140	1.12	-0.78	-0.99	-0.04	0.25	-0.12	-0.42	0.04	2.2	2.5
Pa_4_9480	-0.8	-0.35	-1.13	0.24	1.18	0.8	-0.24	-0.65	1.48	2.56
Pa_4_9680	-0.09	0.18	-0.04	-0.05	-0.04	0.04	-0.06	0.1	2.23	4.2
Pa_4_9730	-0.35	-0.72	-0.84	-0.95	-0.5	0.35	0.97	1.52	1.47	1.6
Pa_5_10250	-0.01	-0.18	-0.29	-0.19	-0.07	0.01	0.02	0.12	1.95	3.64
Pa_5_10340	-0.31	-0.37	0.23	-0.62	-0.19	0.24	0.19	-0.55	1.39	2.53
Pa_5_10540	-0.58	-0.82	-0.84	-0.85	-0.55	0.55	1.15	2.24	4.98	4.94
Pa_5_10810	-0.48	-0.03	-0.05	-0.04	0.03	0.08	0.2	-0.16	1.06	2.22
Pa_5_10830	-0.56	-0.85	-0.36	-0.74	-0.07	0.07	0.1	0.14	1.61	3.15
Pa_5_10850	-0.17	-0.01	-0.24	-0.2	-0.1	0.07	0.01	0.86	4.16	3.81
Pa_5_10900	-0.22	-0.5	-0.14	-0.41	0.07	-0.07	0.14	0.44	1.48	3.52
Pa_5_10970	-1.04	-0.48	-0.67	-0.98	-0.73	0.48	2.27	3.64	3.87	1.87
Pa_5_11000	-0.7	-0.38	-0.29	-0.39	-0.2	0.2	1.52	2.74	3.41	5.89
Pa_5_1130	-0.29	-0.5	-0.44	-0.35	-0.11	0.11	0.61	2.34	2.83	4.01
