GENE	Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_1_3150	2.63	1.06	0.15	-0.62	-0.58	-0.51	-0.21	-0.15	0.56	0.23
Pa_1_3280	-1.23	-0.96	-1.11	-1	-0.48	0.48	2.07	2.41	2.55	1.65
Pa_1_3290	-0.93	-0.01	0.81	0.41	1.28	0.27	0.01	-1.88	-2.6	-2.78
Pa_1_3360	-0.3	-0.34	-0.38	-0.2	0	0	0.24	1.32	4.57	6.52
Pa_1_3380	-0.4	-0.15	-0.34	-0.31	-0.22	0.15	1.5	3.17	3.91	4.57
Pa_1_350	6.93	4	2.9	-0.45	-0.67	-0.03	0.05	0.03	-0.54	-0.73
Pa_1_380	0.92	0.95	0.9	0.92	0.08	-0.08	-0.11	-0.44	-1.08	-2.16
Pa_1_3810	-0.83	-1.12	-0.38	1.44	1.15	0.34	0.13	-0.06	0.06	-0.25
Pa_1_390	-0.04	1.14	1.08	0.78	0.36	0.04	-0.54	-1.23	-1.84	-4.53
Pa_1_4310	-1.83	-1.93	-1.85	-1.7	-0.07	0.07	0.53	1.89	3.2	2.53
Pa_1_4340	0.54	-0.19	0.8	0.05	-0.05	-0.4	-0.27	-0.23	0.55	2.48
Pa_1_440	-1.52	-1.3	0.52	0	-0.29	0	0.88	0.99	0.09	-2.18
Pa_1_4560	-1.04	-1.85	1.3	2.96	2.21	0.89	0.11	-0.11	-0.2	-0.47
Pa_1_4590	-0.19	-1.41	-1.26	-0.53	-0.44	0.19	0.97	0.87	1.42	0.74
Pa_1_4740	-0.52	-0.13	-0.75	-0.77	-0.31	0.13	0.31	1.92	3.77	3.6
Pa_1_4860	1.23	0.99	0.69	0.32	0.14	-0.14	-1.07	-1.6	-1.75	-1.19
Pa_1_4910	0.39	-0.06	0.06	-0.31	-0.45	-0.17	-0.21	0.17	2.28	1.73
Pa_1_5010	0.08	0.07	-0.01	0.01	-0.04	0.07	-0.16	-0.24	-0.15	5.95
Pa_1_5023	-0.96	-0.33	6.12	4.64	3.42	1.99	0.33	-0.97	-1.22	-1.58
Pa_1_5130	-0.56	-0.83	0.3	-0.01	-0.17	-0.34	0.01	0.72	3.86	4.43
Pa_1_5140	0.01	0.52	-0.05	-0.14	-0.01	-0.1	-0.15	0.5	2.07	3.05
Pa_1_5150	-0.52	0.25	0.1	-0.28	0.7	0.13	-0.1	-0.28	-0.16	2.4
Pa_1_5230	1.58	0.93	0.73	0.11	-0.12	-0.11	-1.06	-1.34	-0.36	0.29
Pa_1_5240	2.57	1.46	1.07	0.11	-0.01	0.01	-0.57	-0.64	-0.37	-0.09
Pa_1_5250	1.63	0.52	1.06	0.23	0.07	-0.07	-1.16	-1.92	-2.48	-2.44
Pa_1_5260	0.57	0.27	0.5	0.23	0.07	-0.07	-0.33	-0.49	-1.13	-2.65
Pa_1_5360	0.06	-0.26	-0.2	0.33	-0.06	-0.53	-0.77	0.24	2.33	2.87
Pa_1_5450	-0.51	0.87	0.27	0.22	0.14	-0.23	-0.59	-0.65	-0.14	2.02
Pa_1_5485	-0.29	-0.13	-0.25	-0.07	0.1	0.07	-0.09	0.91	2.2	2.84
Pa_1_5490	2.72	1.26	0.68	0.16	0.1	-0.1	-0.49	-0.49	-0.49	-0.15
Pa_1_5520	0.38	0.77	1.2	1.28	0.43	-0.38	-0.66	-1.91	-1.59	-0.91
Pa_1_5580	-0.39	-0.22	-0.47	-0.25	0.52	-0.1	0.1	1.96	4.39	3.88
Pa_1_5615	-1.67	-1.5	-1.75	-0.39	0.21	0.31	-0.14	0.14	1.76	2.87
Pa_1_5620	-0.5	-0.05	-0.47	-0.54	-0.41	0.05	0.95	2.06	2.16	1.41
Pa_1_5650	-0.91	-0.36	-0.31	-0.23	-0.03	0.03	1.03	2.15	3.18	4.28
Pa_1_5740	3.87	1.34	-0.15	-0.66	-1.26	-0.95	-0.71	0.15	0.86	0.49
Pa_1_5765	-1.79	-0.61	-0.84	-0.62	-0.23	0.23	1.31	2.79	3.21	2.96
Pa_1_5800	-0.6	-0.57	0.4	0.08	-0.31	-0.28	-0.08	0.49	1.37	2.2
Pa_1_5870	0.49	0.41	0.24	0.38	0.19	-0.2	-0.19	-0.66	-1.47	-2.78
Pa_1_5880	-0.53	0	-0.07	-0.08	0	-0.06	0.03	3.98	5.96	5.72
Pa_1_5930	0.63	0.45	0.02	0.27	0.04	-0.02	-0.85	-1.83	-2.09	-2.38
Pa_1_5970	-0.53	-0.45	-0.58	-0.21	0	0.24	0.21	0.41	0	5.49
Pa_1_5975	0.7	1.6	1.63	0.62	0.06	-0.06	-1.26	-2.13	-2.48	-1.91
Pa_1_600	0.97	-0.11	0.56	0.2	0.11	0.16	-0.8	-0.92	-1.26	-2.1
Pa_1_6013	-0.84	0.12	-0.18	-0.07	-0.02	-0.06	0.02	0.78	2.45	1.56
Pa_1_6015	-0.26	0.33	1.19	0.92	0.59	0.26	-0.44	-1.5	-2.01	-0.96
Pa_1_6120	0.45	-0.71	0.05	-0.76	-0.73	-0.49	-0.05	1.55	2.4	2.39
Pa_1_618	1.35	2.3	1.78	0.4	0.11	-0.11	-0.19	-0.43	-0.52	-1.03
