Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_4_6490	-0.05	-0.26	0.05	-0.39	-0.12	0.19	0.14	-0.16	0.68	4.07
Pa_4_6530	-0.75	-0.42	-0.42	-0.51	0.02	0.08	0.21	-0.02	0.59	2.88
Pa_4_6800	0.84	0.31	0.32	0.09	-0.4	-0.09	-0.66	-0.84	-0.25	2.33
Pa_4_8400	0.51	0.85	0.31	-0.11	-0.58	-0.52	-0.36	-0.53	0.11	2.35
Pa_4_9500	-0.32	-0.09	-0.25	-0.09	0.06	0.16	-0.06	0.07	0.21	3.29
Pa_4_975	0.13	0.68	-0.16	0.71	0.15	-0.13	-0.9	-0.99	-1.04	2.88
Pa_5_10420	0.76	0.01	1.04	0.54	-0.01	-0.31	-0.78	-0.96	-0.89	4.71
Pa_5_11295	0.22	0.18	0.55	0.05	-0.05	-0.33	-0.54	-0.68	-0.41	2.22
Pa_5_1180	-0.14	0.44	-0.08	0	0	0.04	-0.2	-0.22	0.38	3.79
Pa_5_12037	0.9	-0.27	0.09	-0.07	-0.27	-0.11	0.07	-0.21	0.37	4.87
Pa_5_12200	-0.59	0.5	-1.11	-0.09	0.18	0.09	-0.2	-0.57	0.63	2.29
Pa_5_12450	-0.19	0.31	-0.01	0.01	0.05	0.14	-0.31	-0.44	-0.47	3.37
Pa_5_12500	-0.07	-0.01	-0.06	-0.06	0.01	0.25	-0.01	0.08	0.08	3.4
Pa_5_12910	-0.6	-0.4	-0.24	-0.1	-0.06	0.06	0.44	0.67	0.31	5.07
Pa_5_13075	-0.34	-0.01	-0.28	-0.1	0.03	0.01	-0.13	0.06	0.33	2.55
Pa_5_1390	-0.05	1.08	0.13	0.03	-0.03	-0.12	-0.49	-0.72	0.23	1.91
Pa_5_1670	0.19	0.24	0.18	0.01	-0.06	-0.01	-0.28	-0.35	-0.3	6.57
Pa_5_2510	-0.08	0.02	-0.22	0.22	0.19	-0.02	0.03	-0.25	-0.16	3.61
Pa_5_2630	0.68	0.33	0.58	0.03	-0.2	-0.12	-0.22	-0.03	-0.1	2.95
Pa_5_2790	-0.3	-0.26	-0.22	0.18	0.27	0.26	-0.1	-0.09	0.09	6.97
Pa_5_4490	0.11	0.79	0.15	-0.19	-0.11	-0.31	-0.66	-0.4	0.77	2.27
Pa_5_4800	-0.37	-0.29	0.09	0.34	0.45	0.34	-0.09	-0.45	-0.52	5.6
Pa_5_4852	0.44	-0.04	0	-0.03	0.09	0	-0.16	-0.16	1.26	4.81
Pa_5_4857	-0.2	0.01	-0.19	-0.14	-0.01	0.06	-0.06	0.05	1.11	4.5
Pa_5_4860	-0.31	-0.26	-0.02	0.27	0.28	0.05	-0.24	-0.44	0.02	4.23
Pa_5_5720	1.88	2.31	0.62	-0.07	-0.12	0.02	-0.6	-0.81	-0.02	5.37
Pa_5_6370	-1.05	-0.11	-0.3	-0.15	0.14	-0.04	0.04	0.07	0.27	1.66
Pa_5_7250	1.22	1.83	-0.34	-0.2	-0.14	-0.11	-0.21	0.11	0.97	3.18
Pa_5_7530	1.2	0.39	0	0.21	-0.07	0	-0.29	-0.5	-0.4	5.68
Pa_5_7540	0.91	0.6	0.24	-0.11	-0.04	0.04	-0.22	-0.33	-0.52	6.21
Pa_5_780	0.28	1.14	0.34	0.06	-0.23	-0.06	-0.76	-1.25	-0.07	1.93
Pa_5_9140	0.32	-0.44	0.34	0.09	-0.43	-0.48	-0.68	-0.09	0.33	3.06
Pa_5_9690	0.28	1.21	-0.3	-0.49	-0.58	-0.53	-0.28	0.54	0.79	2.25
Pa_5_975	-0.75	-0.35	-0.79	-0.46	-0.1	0.32	0.1	0.22	1.16	5.18
Pa_6_1050	-0.34	1.07	-0.66	0.47	0.08	-0.08	-0.38	-1.03	0.96	1.82
Pa_6_1080	-0.15	0.11	-0.08	0.07	0.2	0.1	-0.07	-0.16	-0.09	6.46
Pa_6_11380	0.09	1.49	-0.04	0.04	-0.15	-0.15	-0.5	-0.7	0.3	2.77
Pa_6_11860	-0.82	-0.43	0.03	-0.61	0.12	-0.03	-0.28	0.21	0.37	2.44
Pa_6_11870	-0.26	-0.02	0.04	-0.31	-0.31	0.02	-0.22	0.27	0.53	3.23
Pa_6_1950	-0.02	0.02	-0.31	-0.33	-0.12	-0.1	0.19	0.37	0.38	4
Pa_6_2890	-0.54	0.23	-0.04	0.22	0.04	-0.33	-0.43	-0.44	0.07	3.54
Pa_6_3210	-0.14	0	-0.16	-0.12	0	0.05	-0.09	0.2	0.57	4.73
Pa_6_3360	0.21	0.5	-0.27	-0.14	0.14	0.32	-0.36	-0.56	-0.49	6.02
Pa_6_4840	0	0.09	0.24	-0.06	-0.43	-0.53	-0.36	0	0.12	3.43
